ProjectName,FileName,WorkingTime,WorkingTime(min),LineCount,CompileCount,RunCount,Time/Compile,Time/Run,BEWorkingTime(min),DebugCount,StepCount,DebugPlayCount,DebugPlayAverageSpeed,NDWorkingTime(min),NDWorkingTime/WorkingTime,NDWorkingTime/DebugCount,
ia13001(Root),"Confetti.java",00:04,4,51,4,2,00:01,00:02,3,0,0,0,500,0,0.0%,,
ia13001(Root),"MyFavorite.java",00:03,3,34,2,1,00:01,00:03,2,0,0,0,500,0,0.0%,,
ia13001(Root),"Pentagon.java",00:01,1,27,2,1,00:00,00:01,1,0,0,0,500,0,0.0%,,
ia13001(Root),"Star.java",00:01,1,27,2,1,00:00,00:01,0,0,0,0,500,0,0.0%,,
ia13001(Root),"TriForce.java",00:04,4,30,3,2,00:01,00:02,0,0,0,0,500,0,0.0%,,
ia13002(Root),"Confetti.java",00:07,7,21,7,7,00:01,00:01,0,0,0,0,500,0,0.0%,,
ia13002(Root),"MyFavorite.java",00:20,20,218,24,23,00:00,00:00,3,0,0,0,500,0,0.0%,,
ia13002(Root),"Pentagon.java",00:26,26,28,18,12,00:01,00:02,14,0,0,0,500,0,0.0%,,
ia13002(Root),"Star.java",00:11,11,32,21,11,00:00,00:01,5,0,0,0,500,0,0.0%,,
ia13002(Root),"TriForce.java",00:08,8,20,13,7,00:00,00:01,0,0,0,0,500,0,0.0%,,
ia13003(Root),"Confetti.java",00:29,29,50,70,36,00:00,00:00,23,0,0,0,500,0,0.0%,,
ia13003(Root),"MyFavorite.java",00:08,8,29,40,23,00:00,00:00,8,0,0,0,500,0,0.0%,,
ia13003(Root),"Pentagon.java",00:44,44,36,82,44,00:00,00:01,43,0,0,0,500,0,0.0%,,
ia13003(Root),"Star.java",00:11,11,29,15,13,00:00,00:00,0,0,0,0,500,0,0.0%,,
ia13003(Root),"TriForce.java",00:16,16,33,52,29,00:00,00:00,16,0,0,0,500,0,0.0%,,
ia13004(Root),"Confetti.java",00:13,13,49,20,7,00:00,00:01,11,0,0,0,500,0,0.0%,,
ia13004(Root),"HelloWorld.java",00:04,4,18,4,1,00:01,00:04,0,0,0,0,500,0,0.0%,,
ia13004(Root),"MyFavorite.java",00:10,10,35,24,13,00:00,00:00,10,0,0,0,500,0,0.0%,,
ia13004(Root),"Pentagon.java",00:44,44,29,69,6,00:00,00:07,32,0,0,0,500,0,0.0%,,
ia13004(Root),"TriForce.java",00:05,5,31,6,2,00:00,00:02,4,0,0,0,500,0,0.0%,,
ia13004(Root),"ÇrÇîÇÅÇí.java",00:15,15,28,12,3,00:01,00:05,0,0,0,0,500,0,0.0%,,
ia13005(Root),"Confetti.java",00:15,15,50,17,17,00:00,00:00,0,0,0,0,500,0,0.0%,,
ia13005(Root),"HelloWorld.java",00:02,2,21,2,2,00:01,00:01,0,0,0,0,500,0,0.0%,,
ia13005(Root),"MyFavorite.java",00:18,18,45,21,19,00:00,00:00,0,0,0,0,500,0,0.0%,,
